-0.108	0.29187	3.9092e-07
-0.10794	0.28558	6.9539e-06
-0.10789	0.27535	2.1138e-05
-0.10786	0.26119	4.3419e-05
-0.10783	0.24311	7.3737e-05
-0.10782	0.2211	0.00011155
-0.10781	0.19518	0.00015588
-0.1078	0.16533	0.00020538
-0.10779	0.13156	0.00025841
-0.10779	0.093878	0.00031307
-0.10779	0.05227	0.00036728
-0.10776	0.010346	0.00042005
-0.10769	-0.014997	0.00046813
-0.10761	-0.030338	0.000506
-0.10753	-0.040002	0.00053374
-0.10745	-0.046314	0.00055001
-0.10737	-0.050455	0.00055331
-0.1073	-0.052951	0.00054244
-0.10723	-0.054056	0.00051634
-0.10718	-0.05388	0.00047425
-0.10713	-0.052462	0.00041602
-0.10709	-0.049879	0.00034215
-0.10707	-0.04628	0.00025345
-0.10705	-0.041856	0.00015112
-0.10703	-0.036795	3.6797e-05
-0.10701	-0.031267	-8.7546e-05
-0.10698	-0.025389	-0.00021964
-0.10694	-0.01933	-0.00035702
-0.10686	-0.013471	-0.00049751
-0.10674	-0.0082126	-0.00063885
-0.10657	-0.0038903	-0.00077836
-0.10635	-0.00074922	-0.00091337
-0.10609	0.0010623	-0.0010419
-0.1058	0.0014865	-0.0011618
-0.10551	0.00053498	-0.0012703
-0.10522	-0.0016657	-0.0013635
-0.10495	-0.0048403	-0.0014376
-0.10471	-0.0085886	-0.0014893
-0.10449	-0.012508	-0.0015174
-0.10431	-0.016236	-0.001521
-0.10414	-0.019478	-0.0014994
-0.10399	-0.02202	-0.001452
-0.10385	-0.023725	-0.0013784
-0.10373	-0.024519	-0.0012787
-0.10362	-0.02438	-0.0011531
-0.10353	-0.023344	-0.0010028
-0.10345	-0.02153	-0.00083022
-0.10337	-0.019131	-0.00063806
-0.1033	-0.01639	-0.00042942
-0.10321	-0.013571	-0.00020697
-0.10311	-0.010926	2.6593e-05
-0.10297	-0.0086731	0.00026836
-0.10281	-0.0069725	0.00051555
-0.10263	-0.0059284	0.0007655
-0.10243	-0.0055956	0.001015
-0.10222	-0.0059825	0.0012604
-0.10201	-0.0070417	0.0014971
-0.1018	-0.0086599	0.00172
-0.1016	-0.01067	0.0019245
-0.10142	-0.012866	0.0021068
-0.10125	-0.015045	0.002264
-0.1011	-0.017024	0.0023938
-0.10097	-0.018646	0.0024944
-0.10084	-0.019796	0.0025642
-0.10073	-0.020402	0.0026021
-0.10062	-0.020431	0.0026072
-0.10053	-0.019894	0.0025794
-0.10044	-0.018847	0.0025189
-0.10036	-0.017397	0.0024266
-0.10028	-0.015686	0.002304
-0.10019	-0.013878	0.0021525
-0.10008	-0.012134	0.0019738
-0.099964	-0.010603	0.0017699
-0.099827	-0.0094033	0.0015432
-0.099672	-0.0086213	0.0012963
-0.099505	-0.0083076	0.0010323
-0.099329	-0.0084782	0.00075433
-0.09915	-0.0091111	0.00046648
-0.098972	-0.010142	0.00017354
-0.098802	-0.011468	-0.00011955
-0.098641	-0.012963	-0.00040803
-0.098493	-0.014485	-0.00068765
-0.098357	-0.0159	-0.00095454
-0.098234	-0.017093	-0.0012051
-0.098122	-0.017974	-0.0014363
-0.098022	-0.018478	-0.0016452
-0.097931	-0.018573	-0.0018292
-0.097847	-0.01826	-0.0019861
-0.097771	-0.01757	-0.0021135
-0.097697	-0.016571	-0.0022097
-0.097622	-0.015361	-0.0022733
-0.097543	-0.014051	-0.0023038
-0.097454	-0.01276	-0.0023009
